nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
961,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.SGD,25,577.7544033527374,0.36999684840844627,"[0.10163934426229508, 0.33136094674556216, 0.7263581488933601, 0.9196141479099679, 0.09647058823529411]","[0.5081967213114754, 0.16716417910447762, 0.31583552055993, 0.403954802259887, 0.7834394904458599]","[0.16939890710382516, 0.22222222222222224, 0.44024390243902434, 0.5613346418056918, 0.1717877094972067]","[122, 335, 1143, 1416, 157]"
962,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.Adam,22,549.210465669632,0.3885912385754806,"[0.09563409563409564, 0.3905325443786982, 0.7189655172413794, 0.9298245614035088, 0.0919452887537994]","[0.3770491803278688, 0.19701492537313434, 0.3648293963254593, 0.4117231638418079, 0.7707006369426752]","[0.15257048092868988, 0.26190476190476186, 0.4840394660475914, 0.570729319627998, 0.16429056347589954]","[122, 335, 1143, 1416, 157]"
963,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.SGD,72,614.0551376342773,0.3369051370942326,"[0.07713498622589532, 0.2842465753424658, 0.7416666666666667, 0.8490284005979073, 0.08436944937833037]","[0.45901639344262296, 0.24776119402985075, 0.2335958005249344, 0.4011299435028249, 0.6050955414012739]","[0.1320754716981132, 0.2647527910685806, 0.3552894211576847, 0.5448441247002398, 0.1480904130943102]","[122, 335, 1143, 1416, 157]"
964,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.Adam,18,544.4154273867607,0.3826032146233848,"[0.09042553191489362, 0.23140495867768596, 0.6358296622613803, 0.9477351916376306, 0.1029263370332997]","[0.4180327868852459, 0.2507462686567164, 0.378827646544182, 0.384180790960452, 0.6496815286624203]","[0.14868804664723032, 0.24068767908309455, 0.47478070175438597, 0.5467336683417086, 0.17770034843205576]","[122, 335, 1143, 1416, 157]"
965,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.SGD,19,549.1770494580269,0.3885912385754806,"[0.09936575052854123, 0.24128686327077747, 0.7434456928838952, 0.9364069952305246, 0.09450171821305842]","[0.38524590163934425, 0.26865671641791045, 0.347331583552056, 0.4159604519774011, 0.7006369426751592]","[0.15798319327731092, 0.2542372881355932, 0.47346451997614797, 0.576039119804401, 0.16654049962149886]","[122, 335, 1143, 1416, 157]"
966,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.Adam,43,509.20946657657623,0.37472423573904823,"[0.08361774744027303, 0.2607003891050584, 0.6921708185053381, 0.8982785602503912, 0.09743135518157661]","[0.4016393442622951, 0.2, 0.34033245844269466, 0.4053672316384181, 0.7006369426751592]","[0.13841807909604517, 0.22635135135135137, 0.45630498533724345, 0.5586374695863747, 0.17107309486780714]","[122, 335, 1143, 1416, 157]"
967,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.SGD,26,568.3489903211594,0.3775606681374094,"[0.0967741935483871, 0.24154589371980675, 0.7572614107883817, 0.9239482200647249, 0.09813084112149532]","[0.4672131147540984, 0.29850746268656714, 0.3193350831146107, 0.4032485875706215, 0.6687898089171974]","[0.16033755274261605, 0.26702269692923897, 0.4492307692307692, 0.5614552605703048, 0.1711491442542787]","[122, 335, 1143, 1416, 157]"
968,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.Adam,30,534.2206332683563,0.37377875827292784,"[0.09284332688588008, 0.24347826086956523, 0.7176015473887815, 0.9058084772370487, 0.09161624891961971]","[0.39344262295081966, 0.2507462686567164, 0.32458442694663164, 0.4074858757062147, 0.6751592356687898]","[0.15023474178403756, 0.24705882352941178, 0.4469879518072289, 0.5621042377009255, 0.16133942161339423]","[122, 335, 1143, 1416, 157]"
969,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,False,0.01,torch.optim.SGD,29,586.7081453800201,0.3662149385439647,"[0.0929936305732484, 0.4117647058823529, 0.7331975560081466, 0.9207119741100324, 0.09568965517241379]","[0.5983606557377049, 0.14626865671641792, 0.31496062992125984, 0.4018361581920904, 0.7070063694267515]","[0.16097023153252482, 0.21585903083700445, 0.44063647490820074, 0.559488692232055, 0.16856492027334852]","[122, 335, 1143, 1416, 157]"
970,500,3,1,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,False,0.01,torch.optim.Adam,8,597.3302737474442,0.36054207374724234,"[0.09503695881731784, 0.6779661016949152, 0.8351351351351352, 0.8614285714285714, 0.09298085688240657]","[0.7377049180327869, 0.11940298507462686, 0.27034120734908135, 0.4258474576271186, 0.6496815286624203]","[0.16838166510757716, 0.20304568527918782, 0.4084600132187707, 0.5699432892249526, 0.1626794258373206]","[122, 335, 1143, 1416, 157]"
