nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
4801,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.SGD,8,358.9118084907532,0.03844941695556256,"[0.03844941695556256, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.07405159332321701, 0.0, 0.0, 0.0, 0.0]","[122, 335, 1143, 1416, 157]"
4802,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.Adam,17,276.9137395620346,0.3551843681058935,"[0.07947976878612717, 0.27555555555555555, 0.6896551724137931, 0.9685185185185186, 0.09184549356223176]","[0.45081967213114754, 0.18507462686567164, 0.3324584426946632, 0.3693502824858757, 0.6815286624203821]","[0.13513513513513511, 0.22142857142857142, 0.44864226682408503, 0.5347648261758692, 0.16187594553706505]","[122, 335, 1143, 1416, 157]"
4803,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.SGD,24,359.0443422794342,0.3602269145918689,"[0.0, 0.0, 0.3602269145918689, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.5296570898980538, 0.0, 0.0]","[122, 335, 1143, 1416, 157]"
4804,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.Adam,12,279.7685650587082,0.38670028364323983,"[0.09782608695652174, 0.23251028806584362, 0.7112299465240641, 0.9557069846678024, 0.10131712259371833]","[0.4426229508196721, 0.3373134328358209, 0.34908136482939633, 0.3961864406779661, 0.6369426751592356]","[0.16023738872403562, 0.2752740560292326, 0.4683098591549296, 0.5601597603594609, 0.17482517482517484]","[122, 335, 1143, 1416, 157]"
4805,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.SGD,23,279.98685014247894,0.3722029624960605,"[0.11530815109343936, 0.27450980392156865, 0.7049808429118773, 0.9371980676328503, 0.08843537414965986]","[0.47540983606557374, 0.16716417910447762, 0.3219597550306212, 0.4110169491525424, 0.7452229299363057]","[0.1856, 0.2077922077922078, 0.44204204204204206, 0.5714285714285714, 0.1581081081081081]","[122, 335, 1143, 1416, 157]"
4806,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.Adam,28,276.6781772375107,0.337850614560353,"[0.1012216404886562, 0.8205128205128205, 0.7151767151767152, 0.9714285714285714, 0.08231511254019293]","[0.47540983606557374, 0.0955223880597015, 0.3009623797025372, 0.3601694915254237, 0.8152866242038217]","[0.16690647482014387, 0.17112299465240643, 0.4236453201970444, 0.5255023183925811, 0.14953271028037382]","[122, 335, 1143, 1416, 157]"
4807,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.SGD,48,282.84713888168335,0.3643239836117239,"[0.07581227436823104, 0.2554112554112554, 0.7365010799136069, 0.9111791730474732, 0.09355345911949685]","[0.3442622950819672, 0.1761194029850746, 0.2983377077865267, 0.4201977401129944, 0.7579617834394905]","[0.1242603550295858, 0.20848056537102472, 0.4246575342465753, 0.5751570807153215, 0.16655003498950313]","[122, 335, 1143, 1416, 157]"
4808,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.Adam,19,275.244792342186,0.3671604160100851,"[0.09238249594813615, 0.23548387096774193, 0.8165829145728644, 0.9071537290715372, 0.09571788413098237]","[0.4672131147540984, 0.21791044776119403, 0.28433945756780404, 0.4209039548022599, 0.7261146496815286]","[0.15426251691474968, 0.22635658914728682, 0.4218040233614536, 0.5750120598166908, 0.1691394658753709]","[122, 335, 1143, 1416, 157]"
4809,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,9,359.01473367214203,0.10557831705011031,"[0.0, 0.10557831705011031, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.19099201824401368, 0.0, 0.0, 0.0]","[122, 335, 1143, 1416, 157]"
4810,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,11,305.2027755975723,0.341947683580208,"[0.08348794063079777, 0.36538461538461536, 0.7241379310344828, 0.9519408502772643, 0.08226037195994278]","[0.36885245901639346, 0.2835820895522388, 0.2755905511811024, 0.3637005649717514, 0.732484076433121]","[0.1361573373676248, 0.31932773109243695, 0.3992395437262357, 0.5263157894736842, 0.14790996784565916]","[122, 335, 1143, 1416, 157]"
4811,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.SGD,15,360.01681768894196,0.10557831705011031,"[0.0, 0.10557831705011031, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.19099201824401368, 0.0, 0.0, 0.0]","[122, 335, 1143, 1416, 157]"
4812,500,3,7,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.Adam,19,300.2031624317169,0.3473053892215569,"[0.08244680851063829, 0.373015873015873, 0.7586206896551724, 0.9531531531531532, 0.0902317880794702]","[0.5081967213114754, 0.28059701492537314, 0.2694663167104112, 0.3735875706214689, 0.6942675159235668]","[0.14187643020594964, 0.3202725724020443, 0.3976759199483538, 0.5367833587011669, 0.1597069597069597]","[122, 335, 1143, 1416, 157]"
