nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
1,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.SGD,18,2267.686242878437,0.3835486920895052,"[0.09982788296041308, 0.3317757009345794, 0.7408906882591093, 0.9014925373134328, 0.09719934102141681]","[0.47540983606557374, 0.21194029850746268, 0.32020997375328086, 0.4265536723163842, 0.7515923566878981]","[0.16500711237553342, 0.25865209471766853, 0.4471594379963348, 0.5790987535953979, 0.17213712618526622]","[122, 335, 1143, 1416, 157]"
2,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.Adam,8,2360.4484893083572,0.3693665300976993,"[0.12181303116147309, 0.21195652173913043, 0.7267206477732794, 0.9477351916376306, 0.09083333333333334]","[0.3524590163934426, 0.3492537313432836, 0.31408573928258965, 0.384180790960452, 0.6942675159235668]","[0.18105263157894738, 0.26381059751972946, 0.43860720830788025, 0.5467336683417086, 0.16064848931466472]","[122, 335, 1143, 1416, 157]"
3,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.SGD,56,2355.4668204188347,0.36779073432083204,"[0.09498680738786279, 0.33116883116883117, 0.6964618249534451, 0.9154704944178629, 0.08751139471285324]","[0.5901639344262295, 0.15223880597014924, 0.32720909886264216, 0.4053672316384181, 0.6114649681528662]","[0.16363636363636364, 0.2085889570552147, 0.44523809523809527, 0.5619187469407734, 0.15311004784688995]","[122, 335, 1143, 1416, 157]"
4,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.Adam,26,2176.760259747505,0.3844941695556256,"[0.07963246554364471, 0.22418879056047197, 0.7597535934291582, 0.9057437407952872, 0.10541871921182266]","[0.4262295081967213, 0.22686567164179106, 0.3237095363079615, 0.4343220338983051, 0.6815286624203821]","[0.13419354838709677, 0.2255192878338279, 0.4539877300613497, 0.5871121718377089, 0.1825938566552901]","[122, 335, 1143, 1416, 157]"
5,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,33,2309.3632132411003,0.36999684840844627,"[0.09691629955947137, 0.4016393442622951, 0.8132387706855791, 0.9313572542901716, 0.0903522205206738]","[0.5409836065573771, 0.14626865671641792, 0.3009623797025372, 0.4216101694915254, 0.7515923566878981]","[0.16438356164383564, 0.21444201312910288, 0.43933588761174963, 0.5804569761789014, 0.16131237183868763]","[122, 335, 1143, 1416, 157]"
6,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,15,2399.218757688999,0.35865111881500156,"[0.0858050847457627, 0.3258426966292135, 0.850415512465374, 0.9077155824508321, 0.08940719144800778]","[0.6639344262295082, 0.17313432835820897, 0.268591426071741, 0.423728813559322, 0.5859872611464968]","[0.15196998123827388, 0.22612085769980508, 0.40824468085106386, 0.5777563793933558, 0.1551433389544688]","[122, 335, 1143, 1416, 157]"
7,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.SGD,50,2468.3707196712494,0.3482508666876773,"[0.08365019011406843, 0.3395348837209302, 0.8142857142857143, 0.8818181818181818, 0.08541846419327007]","[0.5409836065573771, 0.21791044776119403, 0.24934383202099739, 0.4110169491525424, 0.6305732484076433]","[0.14489571899012074, 0.26545454545454544, 0.3817816476892164, 0.5606936416184971, 0.15045592705167174]","[122, 335, 1143, 1416, 157]"
8,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.Adam,22,2251.518960416317,0.376615190671289,"[0.09612817089452604, 0.4803921568627451, 0.7563025210084033, 0.9156626506024096, 0.08967851099830795]","[0.5901639344262295, 0.14626865671641792, 0.31496062992125984, 0.4293785310734463, 0.6751592356687898]","[0.1653272101033295, 0.22425629290617852, 0.4447189623224213, 0.5846153846153846, 0.15832710978342046]","[122, 335, 1143, 1416, 157]"
9,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0,False,0.01,torch.optim.SGD,28,2250.7056789398193,0.40025212732429877,"[0.10396039603960396, 0.3183673469387755, 0.6578947368421053, 0.9152276295133438, 0.09725685785536159]","[0.3442622950819672, 0.23283582089552238, 0.3937007874015748, 0.4117231638418079, 0.7452229299363057]","[0.1596958174904943, 0.26896551724137924, 0.4926108374384237, 0.5679493424257185, 0.17205882352941176]","[122, 335, 1143, 1416, 157]"
10,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0,False,0.01,torch.optim.Adam,15,2349.0974816679955,0.3781909864481563,"[0.09767441860465116, 0.29439252336448596, 0.7003891050583657, 0.8023106546854942, 0.0871694417238002]","[0.5163934426229508, 0.1880597014925373, 0.31496062992125984, 0.4413841807909605, 0.5668789808917197]","[0.16427640156453716, 0.22950819672131148, 0.4345202172601086, 0.5694760820045558, 0.15110356536502548]","[122, 335, 1143, 1416, 157]"
