nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
3841,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.SGD,56,571.5285131931305,0.3958398991490703,"[0.0947176684881603, 0.30423280423280424, 0.7135325131810193, 0.9503311258278145, 0.1015843429636533]","[0.4262295081967213, 0.34328358208955223, 0.3552055993000875, 0.4053672316384181, 0.6942675159235668]","[0.1549925484351714, 0.3225806451612903, 0.47429906542056066, 0.5683168316831684, 0.1772357723577236]","[122, 335, 1143, 1416, 157]"
3842,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.Adam,10,588.4877429008484,0.3391112511818468,"[0.0890557939914163, 0.5769230769230769, 0.8769716088328076, 0.9170812603648425, 0.09412711182622686]","[0.680327868852459, 0.13432835820895522, 0.2432195975503062, 0.3905367231638418, 0.7452229299363057]","[0.15749525616698293, 0.21791767554479421, 0.3808219178082191, 0.5477959385834571, 0.16714285714285712]","[122, 335, 1143, 1416, 157]"
3843,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.SGD,35,717.6472922563553,0.44626536400882444,"[0.0, 0.0, 0.0, 0.44626536400882444, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.6171279145783395, 0.0]","[122, 335, 1143, 1416, 157]"
3844,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.Adam,51,469.5727516412735,0.3999369681689253,"[0.09480812641083522, 0.19542619542619544, 0.7414829659318637, 0.8483290488431876, 0.10596707818930041]","[0.3442622950819672, 0.28059701492537314, 0.3237095363079615, 0.4661016949152542, 0.6560509554140127]","[0.14867256637168144, 0.2303921568627451, 0.45066991473812423, 0.601640838650866, 0.18246235606731623]","[122, 335, 1143, 1416, 157]"
3845,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.SGD,37,521.3735377192497,0.3945792625275764,"[0.07099391480730223, 0.2627906976744186, 0.7245283018867924, 0.8935251798561151, 0.09658536585365854]","[0.28688524590163933, 0.3373134328358209, 0.3359580052493438, 0.4385593220338983, 0.6305732484076433]","[0.11382113821138211, 0.2954248366013072, 0.45905558876270175, 0.5883467550923733, 0.16751269035532995]","[122, 335, 1143, 1416, 157]"
3846,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.Adam,52,515.0155147910118,0.3876457611093602,"[0.08139534883720931, 0.26436781609195403, 0.6796116504854369, 0.911353032659409, 0.10104861773117255]","[0.4016393442622951, 0.20597014925373133, 0.3674540682414698, 0.4138418079096045, 0.6751592356687898]","[0.13535911602209946, 0.2315436241610738, 0.47700170357751276, 0.569208353569694, 0.175787728026534]","[122, 335, 1143, 1416, 157]"
3847,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.SGD,45,542.9184066653252,0.38575480617711944,"[0.10058027079303675, 0.2698961937716263, 0.6958855098389982, 0.886736214605067, 0.09674582233948989]","[0.4262295081967213, 0.23283582089552238, 0.34033245844269466, 0.4201977401129944, 0.7006369426751592]","[0.16275430359937404, 0.25, 0.4571092831962398, 0.5701964542405367, 0.17001545595054096]","[122, 335, 1143, 1416, 157]"
3848,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.Adam,41,507.7027344107628,0.3873306019539868,"[0.08851224105461393, 0.22388059701492538, 0.767590618336887, 0.8834269662921348, 0.09726156751652502]","[0.38524590163934425, 0.26865671641791045, 0.31496062992125984, 0.4442090395480226, 0.6560509554140127]","[0.1439509954058193, 0.2442333785617368, 0.44665012406947885, 0.5911654135338347, 0.16940789473684212]","[122, 335, 1143, 1416, 157]"
3849,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,False,0.01,torch.optim.SGD,53,651.2935625314713,0.35896627797037506,"[0.10075187969924812, 0.15879828326180256, 0.4312977099236641, 0.7397420867526378, 0.06947890818858561]","[0.5491803278688525, 0.2208955223880597, 0.29658792650918636, 0.4456214689265537, 0.17834394904458598]","[0.17026683608640406, 0.18476903870162295, 0.35147744945567644, 0.5561921551344204, 0.1]","[122, 335, 1143, 1416, 157]"
3850,500,3,5,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,False,0.01,torch.optim.Adam,8,669.7219120264053,0.2423573904821935,"[0.05640019617459539, 0.2, 0.0, 0.8473837209302325, 0.07947019867549669]","[0.9426229508196722, 0.1761194029850746, 0.0, 0.4117231638418079, 0.07643312101910828]","[0.1064322073114299, 0.1873015873015873, 0.0, 0.5541825095057035, 0.07792207792207792]","[122, 335, 1143, 1416, 157]"
