nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
2881,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.SGD,30,2286.171317398548,0.3514024582414119,"[0.08844953173777315, 0.6133333333333333, 0.7139917695473251, 0.9744525547445255, 0.09338168631006347]","[0.6967213114754098, 0.1373134328358209, 0.30358705161854765, 0.3771186440677966, 0.6560509554140127]","[0.1569713758079409, 0.22439024390243906, 0.42602823818293434, 0.5437881873727087, 0.1634920634920635]","[122, 335, 1143, 1416, 157]"
2882,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.Adam,17,2488.588382065296,0.27387330601953985,"[0.08808808808808809, 0.292817679558011, 0.5555555555555556, 0.7131608548931384, 0.08127853881278539]","[0.7213114754098361, 0.1582089552238806, 0.004374453193350831, 0.4477401129943503, 0.5668789808917197]","[0.15700267618198038, 0.20542635658914726, 0.008680555555555556, 0.5501084598698482, 0.14217252396166136]","[122, 335, 1143, 1416, 157]"
2883,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.SGD,76,2523.7697798609734,0.30696501733375353,"[0.07719298245614035, 0.24792013311148087, 0.7619047619047619, 0.7061452513966481, 0.08180428134556575]","[0.18032786885245902, 0.44477611940298506, 0.05599300087489064, 0.4463276836158192, 0.6815286624203821]","[0.10810810810810811, 0.31837606837606836, 0.10431947840260798, 0.5469493725659887, 0.1460750853242321]","[122, 335, 1143, 1416, 157]"
2884,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.Adam,19,2214.115194141865,0.3870154427986133,"[0.11159737417943107, 0.25384615384615383, 0.7452107279693486, 0.9217791411042945, 0.09438377535101404]","[0.4180327868852459, 0.19701492537313434, 0.34033245844269466, 0.4244350282485876, 0.7707006369426752]","[0.17616580310880828, 0.2218487394957983, 0.4672672672672672, 0.5812379110251451, 0.16817234190410008]","[122, 335, 1143, 1416, 157]"
2885,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,11,2871.455939054489,0.03844941695556256,"[0.03844941695556256, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.07405159332321701, 0.0, 0.0, 0.0, 0.0]","[122, 335, 1143, 1416, 157]"
2886,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,20,2690.0146210193634,0.2581153482508667,"[0.10631229235880399, 0.0, 0.0, 0.6036644165863067, 0.08409387222946545]","[0.5245901639344263, 0.0, 0.0, 0.442090395480226, 0.821656050955414]","[0.17679558011049723, 0.0, 0.0, 0.5103954341622502, 0.15257244234180958]","[122, 335, 1143, 1416, 157]"
2887,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.SGD,13,2872.5608254671097,0.04947998739363379,"[0.0, 0.0, 0.0, 0.0, 0.04947998739363379]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0942942942942943]","[122, 335, 1143, 1416, 157]"
2888,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.Adam,18,2480.9146347641945,0.34762054837693035,"[0.09615384615384616, 0.5480769230769231, 0.7994579945799458, 0.9420529801324503, 0.08187134502923976]","[0.5737704918032787, 0.1701492537313433, 0.25809273840769903, 0.4018361581920904, 0.7133757961783439]","[0.1647058823529412, 0.25968109339407747, 0.39021164021164023, 0.5633663366336634, 0.14688524590163934]","[122, 335, 1143, 1416, 157]"
2889,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0,False,0.01,torch.optim.SGD,52,2250.865863442421,0.3473053892215569,"[0.078003120124805, 0.5972222222222222, 0.8198433420365535, 0.9672977624784854, 0.09707602339181287]","[0.819672131147541, 0.12835820895522387, 0.2747156605424322, 0.3968926553672316, 0.5286624203821656]","[0.14245014245014245, 0.21130221130221127, 0.41153342070773263, 0.5628442663995994, 0.16403162055335968]","[122, 335, 1143, 1416, 157]"
2890,500,3,5,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0,False,0.01,torch.optim.Adam,13,2564.104553103447,0.3340687046958714,"[0.09803921568627451, 0.0, 0.7094017094017094, 0.9299145299145299, 0.08167467398764584]","[0.5327868852459017, 0.0, 0.2904636920384952, 0.384180790960452, 0.7579617834394905]","[0.16560509554140126, 0.0, 0.4121663563004346, 0.5437281359320341, 0.14745972738537794]","[122, 335, 1143, 1416, 157]"
