nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
14,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.Adam,10,1.3448419081122351,0.3491963441537977,"[0.08857, 0.36413, 0.7974, 0.92647, 0.08169]","[0.45082, 0.2, 0.26859, 0.40042, 0.71338]","[0.14805, 0.25819, 0.40183, 0.55917, 0.1466]","[122, 335, 1143, 1416, 157]"
15,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.SGD,60,1.373998881689369,0.3605420737472423,"[0.08457, 0.34274, 0.77641, 0.88537, 0.08383]","[0.46721, 0.25373, 0.27647, 0.41455, 0.63057]","[0.14322, 0.2916, 0.40774, 0.56469, 0.14798]","[122, 335, 1143, 1416, 157]"
16,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.Adam,22,1.268830277627092,0.3744090765836748,"[0.09091, 0.22903, 0.75625, 0.94042, 0.09939]","[0.45082, 0.21194, 0.31759, 0.41243, 0.73248]","[0.15131, 0.22016, 0.44732, 0.57339, 0.17504]","[122, 335, 1143, 1416, 157]"
17,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.01,torch.optim.SGD,15,1.2703112958859435,0.3930034667507091,"[0.09959, 0.29661, 0.6848, 0.94435, 0.10172]","[0.39344, 0.20896, 0.37445, 0.40749, 0.78981]","[0.15894, 0.24518, 0.48416, 0.56931, 0.18023]","[122, 335, 1143, 1416, 157]"
18,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.01,torch.optim.Adam,16,1.2516926040563885,0.3829183737787582,"[0.12565, 0.29379, 0.7167, 0.89217, 0.09188]","[0.39344, 0.15522, 0.33421, 0.42655, 0.82166]","[0.19048, 0.20312, 0.45585, 0.57716, 0.16528]","[122, 335, 1143, 1416, 157]"
19,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.001,torch.optim.SGD,50,1.3135736325730658,0.3561298455720139,"[0.08671, 0.48276, 0.7306, 0.92459, 0.0959]","[0.61475, 0.12537, 0.29659, 0.39831, 0.70064]","[0.15198, 0.19905, 0.4219, 0.55676, 0.16871]","[122, 335, 1143, 1416, 157]"
20,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.001,torch.optim.Adam,12,1.2402981726845284,0.3851244878663725,"[0.08831, 0.32022, 0.72894, 0.9375, 0.09528]","[0.55738, 0.17015, 0.34821, 0.42373, 0.63057]","[0.15247, 0.22222, 0.47128, 0.58366, 0.16555]","[122, 335, 1143, 1416, 157]"
21,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,23,1.3238026354077683,0.4011976047904191,"[0.09139, 0.37671, 0.66415, 0.91779, 0.10191]","[0.56557, 0.16418, 0.38408, 0.43362, 0.61146]","[0.15735, 0.22869, 0.4867, 0.58897, 0.1747]","[122, 335, 1143, 1416, 157]"
22,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,15,1.3143263913924916,0.3517176173967853,"[0.09, 0.45631, 0.68023, 0.97253, 0.09567]","[0.66393, 0.1403, 0.30709, 0.375, 0.67516]","[0.15851, 0.21461, 0.42315, 0.54128, 0.16759]","[122, 335, 1143, 1416, 157]"
23,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.SGD,44,1.386317887247411,0.3463599117554365,"[0.08083, 0.3522, 0.76845, 0.89968, 0.09406]","[0.57377, 0.16716, 0.26422, 0.39901, 0.67516]","[0.1417, 0.22672, 0.39323, 0.55284, 0.16511]","[122, 335, 1143, 1416, 157]"
24,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.Adam,18,1.2598073091608526,0.3684210526315789,"[0.09347, 0.19619, 0.77024, 0.93881, 0.09398]","[0.59836, 0.21493, 0.30796, 0.41172, 0.56688]","[0.16168, 0.20513, 0.44, 0.57241, 0.16123]","[122, 335, 1143, 1416, 157]"
25,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.01,torch.optim.SGD,17,1.2695276251756022,0.3819728963126378,"[0.08016, 0.39865, 0.69849, 0.94807, 0.10723]","[0.63934, 0.17612, 0.36483, 0.39972, 0.58599]","[0.14247, 0.24431, 0.47931, 0.56234, 0.18128]","[122, 335, 1143, 1416, 157]"
26,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.01,torch.optim.Adam,14,1.2606734991274071,0.3722029624960605,"[0.09982, 0.21069, 0.75991, 0.88922, 0.0954]","[0.46721, 0.2, 0.30184, 0.42514, 0.70064]","[0.1645, 0.20521, 0.43206, 0.57525, 0.16794]","[122, 335, 1143, 1416, 157]"
27,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.001,torch.optim.SGD,51,1.3060624699354708,0.3526630948629057,"[0.09038, 0.48889, 0.76147, 0.94198, 0.09429]","[0.63115, 0.13134, 0.29046, 0.38983, 0.72611]","[0.15811, 0.20706, 0.42052, 0.55145, 0.16691]","[122, 335, 1143, 1416, 157]"
28,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.001,torch.optim.Adam,24,1.233420016285817,0.389536716041601,"[0.08673, 0.17532, 0.7261, 0.90735, 0.10234]","[0.41803, 0.24179, 0.34558, 0.43573, 0.58599]","[0.14366, 0.20326, 0.46829, 0.58874, 0.17424]","[122, 335, 1143, 1416, 157]"
29,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.SGD,25,1.3197934421389093,0.3885912385754806,"[0.10033, 0.33032, 0.71067, 0.91641, 0.09099]","[0.4918, 0.21791, 0.34383, 0.42585, 0.66242]","[0.16667, 0.26259, 0.46344, 0.58149, 0.16]","[122, 335, 1143, 1416, 157]"
30,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.Adam,13,1.2949097108079175,0.3662149385439647,"[0.13181, 0.38926, 0.88406, 0.9056, 0.08414]","[0.37705, 0.17313, 0.26684, 0.43362, 0.88535]","[0.19533, 0.23967, 0.40995, 0.58644, 0.15368]","[122, 335, 1143, 1416, 157]"
31,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.SGD,42,1.4022821331638926,0.3479357075323038,"[0.07795, 0.32961, 0.75422, 0.90143, 0.0903]","[0.57377, 0.17612, 0.27384, 0.40042, 0.6051]","[0.13725, 0.22957, 0.4018, 0.55452, 0.15715]","[122, 335, 1143, 1416, 157]"
32,500,3,1,8,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.Adam,23,1.264693404894506,0.3826032146233848,"[0.09069, 0.36522, 0.71914, 0.93553, 0.09665]","[0.63115, 0.12537, 0.35171, 0.4202, 0.6242]","[0.1586, 0.18667, 0.47239, 0.57992, 0.16738]","[122, 335, 1143, 1416, 157]"
