size,samples,C,gamma,loss_ensemble
5265.0,3.0,0.1,100.0,0.6501004016064257
5265.0,3.0,1.0,0.1,0.5823293172690763
5265.0,3.0,1.0,1.0,0.5886044176706827
5265.0,3.0,1.0,10.0,0.6209839357429718
5265.0,3.0,1.0,100.0,0.6232429718875502
5265.0,3.0,10.0,0.1,0.5850903614457832
5265.0,3.0,10.0,1.0,0.5878514056224899
5265.0,3.0,10.0,10.0,0.6285140562248996
5265.0,3.0,10.0,100.0,0.6362951807228916
5265.0,3.0,100.0,0.1,0.5908634538152611
5265.0,3.0,100.0,1.0,0.5931224899598393
5265.0,3.0,100.0,10.0,0.6352911646586346
5265.0,3.0,100.0,100.0,0.6405622489959839
7898.0,2.0,0.1,0.1,0.5730421686746988
7898.0,2.0,0.1,1.0,0.5853413654618473
7898.0,2.0,0.1,10.0,0.5881024096385542
7898.0,2.0,0.1,100.0,0.6478413654618473
7898.0,2.0,1.0,0.1,0.5750502008032128
7898.0,2.0,1.0,1.0,0.5843373493975903
7898.0,2.0,1.0,10.0,0.5823293172690763
7898.0,2.0,1.0,100.0,0.6024096385542168
7898.0,2.0,10.0,0.1,0.5838353413654618
7898.0,2.0,10.0,1.0,0.5820783132530121
7898.0,2.0,10.0,10.0,0.5903614457831325
7898.0,2.0,10.0,100.0,0.6147088353413654
7898.0,2.0,100.0,0.1,0.5803212851405622
7898.0,2.0,100.0,1.0,0.5815763052208835
7898.0,2.0,100.0,10.0,0.5983935742971888
7898.0,2.0,100.0,100.0,0.6184738955823292
15797.0,1.0,0.1,0.1,0.561495983935743
15797.0,1.0,0.1,1.0,0.5640060240963856
15797.0,1.0,0.1,10.0,0.5672690763052208
15797.0,1.0,0.1,100.0,0.6066767068273092
15797.0,1.0,1.0,0.1,0.5619979919678715
15797.0,1.0,1.0,1.0,0.561495983935743
15797.0,1.0,1.0,10.0,0.5517068273092369
15797.0,1.0,1.0,100.0,0.5710341365461847
15797.0,1.0,10.0,0.1,0.561495983935743
15797.0,1.0,10.0,1.0,0.5609939759036144
15797.0,1.0,10.0,10.0,0.5622489959839357
15797.0,1.0,10.0,100.0,0.5868473895582329
15797.0,1.0,100.0,0.1,0.5612449799196787
15797.0,1.0,100.0,1.0,0.5637550200803213
15797.0,1.0,100.0,10.0,0.5662650602409638
15797.0,1.0,100.0,100.0,0.5953815261044177
