size,samples,n_estimators,criterion,bootstrap,class_weight,loss_ensemble
2632,6,10,entropy,True,balanced,0.5913654618473896
2632,6,10,entropy,True,balanced_subsample,0.5941265060240963
2632,6,10,entropy,False,balanced,0.5870983935742972
2632,6,10,entropy,False,balanced_subsample,0.5870983935742972
2632,6,40,gini,True,balanced,0.5803212851405622
2632,6,40,gini,True,balanced_subsample,0.5815763052208835
2632,6,40,gini,False,balanced,0.5850903614457832
2632,6,40,gini,False,balanced_subsample,0.5850903614457832
2632,6,40,entropy,True,balanced,0.5823293172690763
2632,6,40,entropy,True,balanced_subsample,0.5825803212851406
2632,6,40,entropy,False,balanced,0.5891064257028112
2632,6,40,entropy,False,balanced_subsample,0.5891064257028112
2632,6,70,gini,True,balanced,0.5788152610441767
2632,6,70,gini,True,balanced_subsample,0.5813253012048193
2632,6,70,gini,False,balanced,0.5901104417670683
2632,6,70,gini,False,balanced_subsample,0.5901104417670683
2632,6,70,entropy,True,balanced,0.5838353413654618
2632,6,70,entropy,True,balanced_subsample,0.5833333333333333
2632,6,70,entropy,False,balanced,0.5906124497991968
2632,6,70,entropy,False,balanced_subsample,0.5906124497991968
2632,6,90,gini,True,balanced,0.5823293172690763
2632,6,90,gini,True,balanced_subsample,0.5818273092369478
2632,6,90,gini,False,balanced,0.5901104417670683
2632,6,90,gini,False,balanced_subsample,0.5901104417670683
2632,6,90,entropy,True,balanced,0.5838353413654618
2632,6,90,entropy,True,balanced_subsample,0.5813253012048193
2632,6,90,entropy,False,balanced,0.5883534136546185
2632,6,90,entropy,False,balanced_subsample,0.5883534136546185
3159,5,10,gini,True,balanced,0.5760542168674698
3159,5,10,gini,True,balanced_subsample,0.5735441767068273
3159,5,10,gini,False,balanced,0.5835843373493976
3159,5,10,gini,False,balanced_subsample,0.5835843373493976
3159,5,10,entropy,True,balanced,0.5798192771084337
3159,5,10,entropy,True,balanced_subsample,0.5740461847389557
3159,5,10,entropy,False,balanced,0.5883534136546185
3159,5,10,entropy,False,balanced_subsample,0.5883534136546185
3159,5,40,gini,True,balanced,0.5753012048192772
3159,5,40,gini,True,balanced_subsample,0.5747991967871486
3159,5,40,gini,False,balanced,0.5793172690763052
3159,5,40,gini,False,balanced_subsample,0.5793172690763052
3159,5,40,entropy,True,balanced,0.5705321285140562
3159,5,40,entropy,True,balanced_subsample,0.5765562248995983
3159,5,40,entropy,False,balanced,0.5793172690763052
3159,5,40,entropy,False,balanced_subsample,0.5793172690763052
3159,5,70,gini,True,balanced,0.5798192771084337
3159,5,70,gini,True,balanced_subsample,0.5700301204819277
3159,5,70,gini,False,balanced,0.5783132530120482
3159,5,70,gini,False,balanced_subsample,0.5783132530120482
3159,5,70,entropy,True,balanced,0.5750502008032128
3159,5,70,entropy,True,balanced_subsample,0.5753012048192772
3159,5,70,entropy,False,balanced,0.5758032128514057
3159,5,70,entropy,False,balanced_subsample,0.5758032128514057
3159,5,90,gini,True,balanced,0.5750502008032128
3159,5,90,gini,True,balanced_subsample,0.5707831325301205
3159,5,90,gini,False,balanced,0.5793172690763052
3159,5,90,gini,False,balanced_subsample,0.5793172690763052
3159,5,90,entropy,True,balanced,0.5727911646586346
3159,5,90,entropy,True,balanced_subsample,0.5742971887550201
3159,5,90,entropy,False,balanced,0.5780622489959839
3159,5,90,entropy,False,balanced_subsample,0.5780622489959839
3949,4,10,gini,True,balanced,0.5778112449799198
3949,4,10,gini,True,balanced_subsample,0.5715361445783133
3949,4,10,gini,False,balanced,0.5793172690763052
3949,4,10,gini,False,balanced_subsample,0.5793172690763052
3949,4,10,entropy,True,balanced,0.5740461847389557
3949,4,10,entropy,True,balanced_subsample,0.5737951807228916
3949,4,10,entropy,False,balanced,0.5778112449799198
3949,4,10,entropy,False,balanced_subsample,0.5778112449799198
3949,4,40,gini,True,balanced,0.5642570281124498
3949,4,40,gini,True,balanced_subsample,0.5660140562248996
3949,4,40,gini,False,balanced,0.5707831325301205
3949,4,40,gini,False,balanced_subsample,0.5707831325301205
3949,4,40,entropy,True,balanced,0.5640060240963856
3949,4,40,entropy,True,balanced_subsample,0.5657630522088353
3949,4,40,entropy,False,balanced,0.5670180722891567
3949,4,40,entropy,False,balanced_subsample,0.5670180722891567
3949,4,70,gini,True,balanced,0.5597389558232932
3949,4,70,gini,True,balanced_subsample,0.5630020080321285
3949,4,70,gini,False,balanced,0.5697791164658634
3949,4,70,gini,False,balanced_subsample,0.5697791164658634
3949,4,70,entropy,True,balanced,0.5612449799196787
3949,4,70,entropy,True,balanced_subsample,0.5602409638554218
3949,4,70,entropy,False,balanced,0.5657630522088353
3949,4,70,entropy,False,balanced_subsample,0.5657630522088353
3949,4,90,gini,True,balanced,0.5632530120481928
3949,4,90,gini,True,balanced_subsample,0.5630020080321285
3949,4,90,gini,False,balanced,0.5680220883534137
3949,4,90,gini,False,balanced_subsample,0.5680220883534137
3949,4,90,entropy,True,balanced,0.5594879518072289
3949,4,90,entropy,True,balanced_subsample,0.5647590361445782
3949,4,90,entropy,False,balanced,0.5667670682730923
3949,4,90,entropy,False,balanced_subsample,0.5667670682730923
5265,3,10,gini,True,balanced,0.5559738955823292
5265,3,10,gini,True,balanced_subsample,0.5572289156626506
5265,3,10,gini,False,balanced,0.5599899598393574
5265,3,10,gini,False,balanced_subsample,0.5599899598393574
